District,Type,Affiliated house 2015,Affiliated room 2015,Affiliated bed 2015,Affiliated house 2016,Affiliated room 2016,Affiliated bed 2016,Affiliated house 2017,Affiliated room 2017,Affiliated bed 2017,Affiliated house 2018,Affiliated room 2018,Affiliated bed 2018
,Community,52,80,148,63,99,214,63,99,214,63,99,176
,Private,34,114,198,42,126,176,49,150,206,49,146,238
Kathmandu,Total,86,194,346,105,225,390,112,249,420,112,245,414
,Community,,,,,,,,,,13,14,28
,Private,,,,,,,,,,4,11,20
Bhaktapur,Total,,,,,,,,,,17,25,48
,Community,43,17,32,49,83,107,49,83,107,61,95,119
,Private,2,5,10,2,5,10,5,16,30,5,9,14
Kavre,Total,45,22,42,51,88,117,54,99,137,66,104,133
,Community,7,13,25,12,24,47,12,24,47,15,28,51
,Private,4,10,20,6,15,30,6,15,30,6,15,30
Lalitpur,Total,11,23,45,18,39,77,18,39,77,21,43,81
,Community,5,5,10,5,5,10,5,5,10,5,5,10
,Private,0,0,0,0,0,0,0,0,0,0,0,0
Mugu,Total,5,5,10,5,5,10,5,5,10,5,5,10
,Community,25,33,66,25,33,66,25,33,66,25,33,66
,Private,0,0,0,0,0,0,0,0,0,0,0,0
Nuwakot,Total,25,33,66,25,33,66,25,33,66,25,33,66
,Community,6,15,30,29,54,96,29,54,96,29,54,96
,Private,1,3,6,1,3,6,2,11,20,1,3,6
Ramechhap,Total,7,15,36,30,57,102,31,65,116,30,57,102
