S.N.,AIRLINES,FLIGHT MOVEMENT DEP,FLIGHT MOVEMENT ARR,FLIGHT MOVEMENT TOTAL,PASSENGER MOVEMENT OUT,PASSENGER MOVEMENT IN,PASSENGER MOVEMENT TOTAL,TRANSIT
1,ABY,880,880,1760,106394,126024,232418,0
2,AIC,939,939,1878,113687,123754,237441,18
3,BBC,354,354,708,39658,33154,72812,12
4,BHA,70,72,142,2294,2102,4396,0
5,BTN,290,290,580,6677,3951,10628,1
6,CCA,513,513,1026,48281,47006,95287,74
7,CES,556,556,1112,52089,53327,105416,0
8,CSC,204,204,408,13546,14012,27558,1
9,CSN,729,729,1458,84802,73841,158643,3
10,DRK,411,411,822,23280,27455,50735,35
11,ETD,579,579,1158,64453,66784,131237,23
12,FDB,1175,1175,2350,171660,165804,337464,88
13,HDA,233,233,466,65479,54130,119609,39
14,HIM,887,883,1770,120926,103227,224153,94
15,IGO,365,365,730,57259,58913,116172,3
16,JAI,1569,1569,3138,226454,224495,450949,4
17,KAL,191,191,382,37252,35525,72777,7
18,MAS,361,361,722,49391,48331,97722,40
19,MXD,688,688,1376,75497,102308,177805,8
20,NAC,1779,1776,3555,244618,247361,491979,429
21,OMA,770,770,1540,78895,88234,167129,10
22,QTR,1455,1455,2910,193534,205802,399336,13
23,RGE,88,88,176,7549,7442,14991,2
24,SLK,294,294,588,39215,35206,74421,0
25,TBA,221,221,442,19584,17759,37343,1
26,THA,365,365,730,91761,79234,170995,34
27,THY,254,254,508,62183,54387,116570,11
28,UBG,42,42,84,1865,2492,4357,0
29,WAN,145,145,290,20196,10275,30471,0
29,XAX,149,149,298,29669,43302,72971,1
30,OTHERS,408,410,818,25791,23790,49581,0
