S.N.,AIRLINES,FLIGHT MOVEMENT DEP,FLIGHT MOVEMENT ARR,FLIGHT MOVEMENT TOTAL,PASSANGER MOVEMENT OUT,PASSANGER MOVEMENT IN,PASSANGER MOVEMENT TOTAL
1,AA,768,767,1535,2536,3186,5722
2,AD,1870,1870,3740,4672,4986,9658
3,BHA,14440,14441,28881,688895,636514,1325409
4,FA,1219,1218,2437,3421,3754,7175
5,HE,746,746,1492,2141,2981,5122
6,KH,620,621,1241,1505,1788,3293
7,MA,723,724,1447,2370,2809,5179
8,MH,331,330,661,1195,1200,2395
9,MU,375,375,750,894,893,1787
10,NAC,1977,1978,3955,42559,36613,79172
11,NSB,629,624,1253,0,0,0
12,NYT,9571,9570,19141,346895,321779,668674
13,RMK,1646,1646,3292,24446,20076,44522
14,SI,1194,1194,2388,53545,52597,106142
15,SH,579,577,1156,2108,2201,4309
16,SHA,4415,4415,8830,228690,219210,447900
17,SM,1093,1093,2186,2908,3558,6466
18,SMA,1563,1563,3126,21910,20262,42172
19,STA,1415,1415,2830,15054,15353,30407
20,TRA,2426,2424,4850,26338,25944,52282
21,VVI,188,188,376,0,0,0
22,OTH,8,11,19,0,0,0
