Indicators,2017,2018,% Change
Places Visited:,,,
National Parks and Wildlife Reserve,604091,699552,13.65
Pashupati Area (excluding Indian),124180,163311,23.96
Lumbini (excluding Indian Tourists),145796,169180,13.82
Manaslu Trekking,5745,7371,22.06
Mustang Trekking,6632,4116,-61.13
HumlaTrekking,13398,10814,-23.89
Lower Dolpa Trekking,924,1222,24.39
Kanchanjunga Trekking,1008,970,-3.92
Upper Dolpa Trekking,425,525,19.05
International Airlines Movement:,,,
Arrival,16680,16964,1.67
Departure,16682,16961,1.64
Total,33362,33925,1.66
